Pair,Judge,segment,Score
Jamie Sal? / David Pelletier-CAN,Anna Sierocka-POL,Free Skating,18
Jamie Sal? / David Pelletier-CAN,Beno?t Lavoie-CAN,Free Skating,19
Jamie Sal? / David Pelletier-CAN,Vladyslav Petukhov-UKR,Free Skating,18
Jamie Sal? / David Pelletier-CAN,Sissy Krick-GER,Free Skating,19
Jamie Sal? / David Pelletier-CAN,Hideo Sugita-JPN,Free Skating,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Marina Sanaya-RUS,Free Skating,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Yang Jiasheng-CHN,Free Skating,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Lucy Brennan-USA,Free Skating,18
Yelena Berezhnaya / Anton Sikharulidze-RUS,Marie-Reine Le Gougne-FRA,Free Skating,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Anna Sierocka-POL,Free Skating,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Beno?t Lavoie-CAN,Free Skating,18
Yelena Berezhnaya / Anton Sikharulidze-RUS,Vladyslav Petukhov-UKR,Free Skating,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Sissy Krick-GER,Free Skating,18
Yelena Berezhnaya / Anton Sikharulidze-RUS,Hideo Sugita-JPN,Free Skating,18
Shen Xue / Zhao Hongbo-CHN,Marina Sanaya-RUS,Free Skating,17
Shen Xue / Zhao Hongbo-CHN,Yang Jiasheng-CHN,Free Skating,17
Shen Xue / Zhao Hongbo-CHN,Lucy Brennan-USA,Free Skating,17
Shen Xue / Zhao Hongbo-CHN,Marie-Reine Le Gougne-FRA,Free Skating,17
Shen Xue / Zhao Hongbo-CHN,Anna Sierocka-POL,Free Skating,17
Shen Xue / Zhao Hongbo-CHN,Beno?t Lavoie-CAN,Free Skating,17
Shen Xue / Zhao Hongbo-CHN,Vladyslav Petukhov-UKR,Free Skating,17
Shen Xue / Zhao Hongbo-CHN,Sissy Krick-GER,Free Skating,17
